,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fortuna,40.5982,-124.1573,52.0,87,90,19.57,US,1612568167
1,caravelas,-17.7125,-39.2481,80.2,80,97,14.56,BR,1612568135
2,ushuaia,-54.8,-68.3,46.4,76,75,25.32,AR,1612568062
3,nikolskoye,59.7035,30.7861,12.0,78,75,11.18,RU,1612568167
4,seoul,37.5683,126.9778,39.2,81,75,6.91,KR,1612568164
5,tiksi,71.6872,128.8694,-17.46,89,100,9.95,RU,1612568157
6,fare,-16.7,-151.0167,80.91,68,10,5.59,PF,1612568168
7,darhan,49.4867,105.9228,-1.46,86,72,2.13,MN,1612568168
8,carnarvon,-24.8667,113.6333,80.6,74,90,25.32,AU,1612568124
9,saint-joseph,-21.3667,55.6167,78.8,65,0,6.91,RE,1612568168
10,barrow,71.2906,-156.7887,-9.4,70,75,13.8,US,1612567874
11,cape town,-33.9258,18.4232,69.01,88,0,18.41,ZA,1612567983
12,tahara,34.6667,137.2667,48.0,87,86,11.23,JP,1612568169
13,rikitea,-23.1203,-134.9692,79.07,69,5,12.66,PF,1612568169
14,magadan,59.5667,150.8,-2.88,84,61,15.68,RU,1612568169
15,avarua,-21.2078,-159.775,86.0,66,75,13.8,CK,1612568128
16,punta arenas,-53.15,-70.9167,53.6,47,0,26.46,CL,1612568169
17,lavrentiya,65.5833,-171.0,2.44,92,100,14.83,RU,1612568139
18,gubkinskiy,64.434,76.5026,-6.48,91,100,13.38,RU,1612568170
19,provideniya,64.3833,-173.3,7.61,91,100,12.55,RU,1612568138
20,busselton,-33.65,115.3333,61.0,77,95,1.99,AU,1612568147
21,plettenberg bay,-34.0527,23.3716,67.64,91,3,3.91,ZA,1612568170
22,muli,2.9167,73.5667,80.92,76,89,11.83,MV,1612568170
23,ropczyce,50.0523,21.6089,28.99,68,0,8.05,PL,1612568170
24,ribeira grande,38.5167,-28.7,59.05,84,94,12.75,PT,1612568130
25,lebedinyy,58.5167,125.5167,-23.51,86,100,1.63,RU,1612568171
26,sainte-suzanne,-20.9061,55.6089,78.8,65,75,10.36,RE,1612568171
27,bluff,-46.6,168.3333,59.4,73,66,2.15,NZ,1612568171
28,butaritari,3.0707,172.7902,81.32,80,80,17.74,KI,1612568149
29,raudeberg,61.9875,5.1352,27.0,57,0,8.05,NO,1612568158
30,yellowknife,62.456,-114.3525,-31.0,68,90,11.5,CA,1612568150
31,belaya gora,68.5333,146.4167,-17.09,89,99,4.94,RU,1612568168
32,chokurdakh,70.6333,147.9167,-17.43,87,99,11.88,RU,1612568134
33,portland,45.5234,-122.6762,53.6,71,75,6.91,US,1612567875
34,mar del plata,-38.0023,-57.5575,73.0,49,0,5.75,AR,1612567879
35,emba,48.8264,58.1442,33.28,94,100,13.02,KZ,1612568172
